Hook,Framework,Category,Visual_Suggestion,Text_Suggestion,Views
Here's five of the most common squat mistakes you need to avoid,Here's [X number] of the most common [Y exercise] mistakes you need to avoid,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"9,213,773"
"Chest. Some kind of flat barbell or dumbbell pressing and then some incline work. And then lastly for chest, I would say some kind of flying movement.","[X body part]. Some kind of [Y exercise] and then [Z exercise]. And then lastly for [X], I would say some kind of [movement]",Educational/Tutorial,"Creator A-Roll, Example Videos",Captions (repeat of spoken),"8,995,288"
"He always trains his calves using a full range of motion, and he only does the top half. Who do you think will grow bigger calves?","[X person] always [Y method], and [Z person] only [method]. Who do you think will grow bigger [muscle]?",Educational/Tutorial,"Creator A-Roll, Creator in B-Roll",Captions (repeat of spoken),"33,882,243"
Why is Sam Sulek doing half reps? Is this actually effective for muscle growth?,Why is [X person] doing [Y unconventional method]? Is this actually effective for [Z goal]?,Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"18,312,327"
Only one of these people has never used steroids. Let's see if random people can spot who it is.,Only one of these [X people] has never [Y controversial thing]. Let's see if [Z audience] can spot who it is,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"12,584,218"
"Alright, this is my leg workout based on science and experience.","Alright, this is my [X workout] based on science and experience",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"12,364,501"
"I'm gonna save you 30 minutes of your next workout with three simple tips, and it won't cost you any gains.","I'm gonna save you [X time] of your next workout with [Y number] simple tips, and it won't cost you any [Z]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"11,614,627"
"Alright, this is my pull day based on science and experience.","Alright, this is my [X workout] based on science and experience",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"8,644,772"
"The calves are the hardest muscle to grow, but scientists have recently discovered three solutions to their stubbornness.","The [X muscle] are the hardest muscle to grow, but scientists have recently discovered [Y number] solutions to their stubbornness",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"8,416,798"
Y'all know the science-based guys. Science guys really need to answer this question before anything.,Y'all know the [X type] guys. [X] guys really need to answer this question before anything,Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"7,778,981"
This is my push day based on science and experience.,This is my [X workout] based on science and experience,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"7,325,476"
"My first scientific study is officially published, and it answers the question, what is optimal training technique?","My first [X achievement] is officially published, and it answers the question, [Y question]?",Educational/Tutorial,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"7,312,391"
Check this out. This Dallas mom makes a million dollars a year in only four months of work.,Check this out. This [X location] [Y person] makes [Z amount] a year in only [time] of work,Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"6,234,032"
Instagram is rolling out a huge update. Here's everything you need to know.,[X platform] is rolling out a huge update. Here's everything you need to know,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"1,509,085"
"There's a shift happening in social media, and there's data that's clear.","There's a shift happening in [X industry], and there's data that's clear",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"1,069,138"
"Well, if you think your Instagram video posts have been blurry lately, you're not wrong.","Well, if you think your [X platform] [Y content] have been [Z problem] lately, you're not wrong",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"857,435"
"How do you make fake comments like this? Great question. Oh, you tried clicking on that. Yeah that's not going to work.","How do you make [X thing]? Great question. Oh, you tried [Y action]. Yeah that's not going to work",Educational/Tutorial,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"733,171"
"Okay, can we talk about how Ashton Hall low-key broke the internet with his morning routine?","Okay, can we talk about how [X person] low-key broke the internet with [Y content]?",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"553,806"
"Please do real estate. I got you. One idea, five viral hooks. Let's run it. Number one - Negative Hook.","Please do [X topic]. I got you. One idea, [Y number] viral hooks. Let's run it. Number one - [Z hook type]",Educational/Tutorial,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"541,604"
Here are three websites that are completely free that every creator needs to know.,Here are [X number] websites that are completely free that every [Y audience] needs to know,Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"3,552,723"
Have you ever saw this guy before or him or him or his name is Wojack and there's a website where you can get loads of him or you can create your own for the free-ski.,Have you ever saw [X] before? His name is [Y] and there's a website where you can [Z benefit] for free,Educational/Tutorial,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"2,823,855"
never record content on an iPhone until you change these settings.,Never [X action] on [Y device] until you change these settings,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"1,967,909"
There are 4 websites that are completely free that every creator and editor needs to know.,There are [X number] websites that are completely free that every [Y audience] needs to know,Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"1,575,389"
Here are 3 places you can get movie clips completely for free so share it with a friend and tell them the last one is the best.,Here are [X number] places you can get [Y content] completely for free so share it with a friend and tell them the last one is the best,Secret Reveal,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"1,277,512"
Never open Premiere Pro again until you install these three plugins.,Never open [X software] again until you install these [Y number] plugins,Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"924,405"
I just found this crazy AI website that can turn any image into a video.,I just found this crazy [X type] website that can turn any [Y input] into [Z output],Secret Reveal,"Creator A-Roll, Example Videos",Captions (repeat of spoken),"716,090"
Here are 4 websites I couldn't live without as a content creator so save this video for later,Here are [X number] websites I couldn't live without as a [Y profession] so save this video for later,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"405,843"
This website has a bunch of cut out memes and popular sound effects you can download completely for free.,This website has a bunch of [X content] you can download completely for free,Secret Reveal,"Creator A-Roll, Example Videos",Captions (repeat of spoken),"367,897"
I'm nearly 24 years old and if I could go back in time this is what I would tell my 18 year old self.,I'm nearly [X age] years old and if I could go back in time this is what I would tell my [Y age] year old self,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"303,666"
"Ever since I was five years old, I always wondered, is it possible to get one of the big prizes at an arcade?","Ever since I was [X age] years old, I always wondered, [Y question]?",Question,Creator in B-Roll,Captions (repeat of spoken),"4,619,552"
"So apparently if you take a nap for 20 minutes right after chugging caffeine, it makes you the most wired and awake you've ever been.","So apparently if you [X action] right after [Y action], it makes you [Z result]",Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"3,525,280"
"You know, I really thought life would get better once I made 10k a month.","You know, I really thought life would get better once I [X achievement]",Contrarian/Negative,Creator A-Roll,Captions (repeat of spoken),"2,589,543"
"I don't know who needs to hear this, but uninstalling video games is not gonna make you successful.","I don't know who needs to hear this, but [X common advice] is not gonna make you successful",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"2,451,649"
"All we have to do is sell 200 people on a $500 product and we make $100,000 in one hour",All we have to do is [X simple calculation] and we make [Y result],Secret Reveal,Creator in B-Roll,Captions (repeat of spoken),"2,343,306"
"Is it possible to get a really good chest, tricep, and shoulder workout in just 3 minutes?",Is it possible to get a really good [X result] in just [Y time]?,Question,Creator A-Roll,Captions (repeat of spoken),"2,302,326"
"I don't know who needs to hear this, but the idea that you can change your life by simply working harder is bullshit.","I don't know who needs to hear this, but the idea that [X belief] is bullshit",Contrarian/Negative,"Creator A-Roll, Creator in B-Roll",Captions (repeat of spoken),"2,076,962"
"I'm sorry, I don't know who needs to hear this, but this mindset will not make you successful.","I'm sorry, I don't know who needs to hear this, but this [X mindset] will not make you successful",Contrarian/Negative,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"2,015,476"
"Is it possible for a broke college student to make $100,000 a month?",Is it possible for a [X person] to [Y achievement]?,Question,"Creator A-Roll, Creator in B-Roll",Captions (repeat of spoken),"1,592,340"
"Right now, it's 1.47am. We're gonna do work until 8am.","Right now, it's [X time]. We're gonna [Y action] until [Z time]",Experimentation,Creator A-Roll,Captions (repeat of spoken),"1,527,953"
This is how to get paid to exist without actually having to go viral.,This is how to get paid to [X simple action] without actually having to [Y expected requirement],Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"719,577"
"If you're not comfortable sharing your day-to-day life on social media, you don't have to.","If you're not comfortable [X action], you don't have to",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"391,399"
"Growing an audience is hard, but growing an audience that cares about you is even harder.","[X task] is hard, but [Y deeper task] is even harder",Contrarian/Negative,Creator A-Roll,Captions (repeat of spoken),"272,821"
"If you were to introduce yourself to me right now, could you do it without mentioning your job title or the things that you do?","If you were to [X action] right now, could you do it without [Y typical approach]?",Question,Creator A-Roll,Captions (repeat of spoken),"254,717"
So it has come to my attention that you don't think your life is interesting enough for the camera.,So it has come to my attention that you don't think your [X] is [Y quality] enough for [Z purpose],Contrarian/Negative,Creator A-Roll,Captions (repeat of spoken),"149,389"
"This creator has grown 600,000 followers in the past two months and here are the top three things that I've learned from watching her grow.",This creator has grown [X number] followers in the past [Y time] and here are the top [Z number] things that I've learned from watching them grow,Fortuneteller,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"126,598"
I have an irrational fear of the camera. It seems backwards because I'm a content creator.,I have an irrational fear of [X]. It seems backwards because I'm a [Y profession],Contrarian/Negative,"Creator A-Roll, Creator in B-Roll, Image Screenshots",Captions (repeat of spoken),"119,722"
Eye gua sha really helps dark circles because look how many acupoints or energy points are around your eye,[X treatment] really helps [Y problem] because look how many [Z detail],Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"4,339,143"
I'm so glad this guy is okay. This man who had to go to the ER because of ice water.,I'm so glad this guy is okay. This [X person] who had to go to the ER because of [Y surprising cause],Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"3,009,683"
Doctors do not respect Gua Sha.,[X authority] do not respect [Y practice],Educational/Tutorial,"Creator A-Roll, Example Videos",Captions (repeat of spoken),"2,550,972"
"Okay, this is so cool. This is an athlete and he's having his legs and his hips stretched to assess his range of motion.","Okay, this is so cool. This is [X person] and they're having [Y procedure]",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"1,267,976"
This is an accupuncture pressure point that lifts energy.,This is an [X technique] that [Y benefit],Educational/Tutorial,"Creator A-Roll, Creator in B-Roll",Captions (repeat of spoken),"1,253,251"
This acupoint on your scalp clears sinus congestion and headaches faster than an Advil.,This [X point] on your [Y body part] [Z action] faster than [common solution],Educational/Tutorial,Creator in B-Roll,Captions (repeat of spoken),"1,091,148"
"Okay, if you're coming down with a cold, don't go chugging down a raw ginger shot.","Okay, if you're [X condition], don't go [Y wrong solution]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"940,944"
"When I treat sinus congestion, I always include these three points that are very strong at clearing wind from your head.","When I treat [X condition], I always include these [Y number] points that are very strong at [Z effect]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"908,662"
"So a lot of kids are insufficient or outright deficient in zinc, and zinc changes your taste preferences.","So a lot of [X group] are [Y deficient] in [Z nutrient], and [nutrient] changes your [unexpected effect]",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"967,025"
"When women are on the pill, they're attracted to, genetically, someone who's more like their cousin.","When [X group] are on [Y medication], they're [Z unexpected effect]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"918,807"
"My husband's parking the car, so I am doing the long, lonely walk to the ultrasound appointment.","My [X person]'s [Y action], so I am doing the [Z emotional action]",Educational/Tutorial,"Creator A-Roll, Creator in B-Roll",Captions (repeat of spoken),"548,264"
Would you not sleep with a girl just because she's on her period?,Would you not [X action] with [Y person] just because [Z condition]?,Educational/Tutorial,"Creator A-Roll, Creator in B-Roll",Captions (repeat of spoken),"378,663"
People who read before bed reduce their stress by 68%.,People who [X habit] reduce their [Y problem] by [Z percentage],Educational/Tutorial,"Creator A-Roll, Creator in B-Roll",Captions (repeat of spoken),"346,897"
Why is green tea so bad?,Why is [X supposedly good thing] so bad?,Contrarian/Negative,Creator A-Roll,Captions (repeat of spoken),"6,250,275"
"If you have excessive menstrual flow, aka you bleed too much every time of the month, you can try jujubes.","If you have [X condition], aka [Y plain explanation], you can try [Z remedy]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"4,666,049"
"Are you losing hair? So this is a really good food herb if you lose hair, okay?","Are you [X problem]? So this is a really good [Y remedy] if you [X problem], okay?",Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"1,926,554"
What has happened to Beyonce? Oh my God.,What has happened to [X celebrity]? Oh my God,Raw Shock,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"1,926,433"
"You guys voted for me to analyze Khloe Kardashian's tongue, so here we go.","You guys voted for me to analyze [X celebrity's] [Y body part], so here we go",Experimentation,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"1,909,031"
Do you have iron deficiency or anemia?,Do you have [X condition] or [Y condition]?,Question,Creator A-Roll,Captions (repeat of spoken),"1,670,572"
"Cardi B's tongue. If we look at this tongue, she has red on the tip of the tongue and also around","[X celebrity's] [Y body part]. If we look at this [Y], [Z observation]",Experimentation,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"1,594,954"
Finding it difficult to lose weight and always feel you're tired on the legs?,Finding it difficult to [X goal] and always feel [Y symptom]?,Question,Creator A-Roll,Captions (repeat of spoken),"1,551,416"
What I wish I knew at 19 instead of 44.,What I wish I knew at [X age] instead of [Y age],Fortuneteller,Creator A-Roll,Captions (repeat of spoken),"19,099,614"
"Being hot needs to be your priority. Honey, you're going to spend your whole life trying to undo that mentality, and then you're going to break a hip when you're 65.","[X bad advice]. Honey, you're going to spend your whole life trying to undo that mentality, and then [Y consequence]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"2,740,142"
"Everybody wants to make content, but nobody wants to script it. It's true","Everybody wants to [X outcome], but nobody wants to [Y necessary work]. It's true",Contrarian/Negative,Creator in B-Roll,Captions (repeat of spoken),"646,694"
"If you post 100 videos and 90 of them flop, but then the next 10 are the ones that get you to 100,000 followers and get you your first 10 sales, are you going to care about the 90 that flopped?","If you [X action] and [Y percentage] of them flop, but then [Z small percentage] are the ones that get you [results], are you going to care about [failures]?",Fortuneteller,Creator A-Roll,Captions (repeat of spoken),"422,033"
I think I've unlocked the secret to viral content.,I think I've unlocked the secret to [X outcome],Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"358,763"
"Boring product, excellent marketing.","[X negative trait] product, [Y positive trait] marketing",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"221,258"
"Whatever you do, do not post another video without remembering this - and, but, therefore.","Whatever you do, do not [X action] without remembering this - [Y principle]",Secret Reveal,Creator in B-Roll,Captions (repeat of spoken),"217,701"
Here's the type of thinking that makes me a ton of money as a marketing consultant for businesses.,Here's the type of thinking that makes me [X result] as a [Y profession],Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"168,446"
"If your brand sucks at content marketing, well lucky for you, I've got a framework that's gonna help you so much.","If your [X business] sucks at [Y skill], well lucky for you, I've got a framework that's gonna help you so much",Secret Reveal,"Creator A-Roll, Creator in B-Roll",Captions (repeat of spoken),"44,699"
"Don't copy creators, study them and do it better.","Don't [X obvious action] [Y people], [Z better action] and do it better",Educational/Tutorial,"Creator A-Roll, Creator in B-Roll",Captions (repeat of spoken),"41,434"
"Here's why we're okay with paying $7,000 a month in rent.",Here's why we're okay with [X seemingly crazy decision],Raw Shock,Subject in B-Roll,Captions (repeat of spoken),"902,684"
"If you want to grab attention on YouTube, stop scrolling.","If you want to [X goal] on [Y platform], stop scrolling",Educational/Tutorial,Creator in B-Roll,Captions (repeat of spoken),"538,668"
The ideal way to actually execute as a company is to have the founder be in the content.,The ideal way to actually [X goal] as a [Y entity] is to have [Z person] be in the [activity],Educational/Tutorial,"Example Videos, Subject in B-Roll",Captions (repeat of spoken),"481,072"
Today I'm doing the unthinkable at one of the biggest trade shows in the world.,Today I'm doing the unthinkable at [X event],Raw Shock,"Non-person B-Roll, Subject in B-Roll",Captions (repeat of spoken),"262,368"
We're putting our entire life savings on this theory.,We're putting our entire [X asset] on this [Y theory],Raw Shock,"Non-person B-Roll, Subject in B-Roll",Captions (repeat of spoken),"247,441"
"There's a model called the five stages of relationship, and here's the wild part.","There's a model called [X concept], and here's the wild part",Secret Reveal,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"8,220,970"
"If you make fake snares in your head before you go to sleep, it's a sign of mental illness.","If you [X behavior], it's a sign of [Y condition]",Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"5,401,113"
"This experiment is dark, but it proved something real about belief.","This experiment is [X adjective], but it proved something real about [Y concept]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"3,712,802"
It is far better for a woman to be obsessed with a man than a man to be obsessed with a woman.,It is far better for [X group] to [Y behavior] than [Z group] to [same behavior],Contrarian/Negative,Creator A-Roll,Captions (repeat of spoken),"3,648,644"
Pretty much everything in my life changed when I started doing things that would make me more fuckable.,Pretty much everything in my life changed when I started doing things that would make me more [X quality],Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"2,470,019"
There are only two people in this world that you need to make proud.,There are only [X number] people in this world that you need to [Y goal],Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"2,456,752"
"The most depressed person in the family is not the mother, it's not the father, it's not the daughters. It's the eldest son.",The most [X trait] person in the [Y group] is not [Z expected person]. It's [unexpected person],Contrarian/Negative,Creator A-Roll,Captions (repeat of spoken),"2,444,409"
"For the next 30 days, I need you as delusional as possible.","For the next [X time], I need you as [Y mindset] as possible",Contrarian/Negative,Creator A-Roll,Captions (repeat of spoken),"2,188,732"
I've never understood dudes who spend their first real money on a supercar.,I've never understood [X people] who [Y behavior],Contrarian/Negative,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"2,000,779"
You ever notice how the people that always seem to be complaining never catch a break,You ever notice how the people that always [X behavior] never [Y outcome],Question,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"1,971,030"
"By far, the easiest way as an entrepreneur to consistently have content to post and make is by doing a mock podcast like this","By far, the easiest way as [X profession] to consistently [Y goal] is by doing [Z method]",Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"669,412"
You are being brainwashed to watching this video right now.,You are being [X claim] to [Y action] right now,Raw Shock,Creator in B-Roll,Captions (repeat of spoken),"242,462"
Stop posting educational content. Do this instead.,Stop posting [X content type]. Do this instead,Educational/Tutorial,"Creator A-Roll, Example Videos",Captions (repeat of spoken),"213,009"
"I'm not the best storyteller by any means necessary, but for every business owner out there watching, this one story format has single-handedly gotten me hundreds of thousands of views and a crap ton of leads.","I'm not the best [X skill] by any means necessary, but for every [Y audience] out there watching, this one [Z technique] has single-handedly gotten me [results]",Secret Reveal,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"205,589"
I tested these two videos to see which one would bring more leads to my business.,I tested these two [X content] to see which one would [Y business goal],Experimentation,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"139,216"
"Your videos aren't boring, you just lack an aspect of retention, aka multitask media.","Your [X content] aren't [Y negative trait], you just lack [Z element]",Contrarian/Negative,Creator A-Roll,Captions (repeat of spoken),"132,850"
"The worst way to start off your video is by saying, hey guys, welcome back to part two....","The worst way to start off your [X content] is by saying, [Y intro]",Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"129,718"
"If I woke up with zero followers and had to build my audience from zero to over two hundred thousand again, here are the first three things I would focus on.","If I woke up with zero followers and had to build my audience from zero to [X number] again, here are the first [Y number] things I would focus on",Secret Reveal,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"113,982"
"This guy just gave us some of the best content marketing advice, and this is something I've been saying for months.","This guy just gave us some of the best [X topic] advice, and this is something I've been saying for [Y time]",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"100,569"
"Yo, if you want to grow online, as I was saying before I got rudely interrupted, if you really want to grow online, you need to consider these two things, value and TV.","Yo, if you want to [X goal], as I was saying before I got rudely interrupted, if you really want to [X], you need to consider these two things, [Y] and [Z]",Raw Shock,"Creator A-Roll, Creator in B-Roll",Captions (repeat of spoken),"90,940"
This prompt has been going viral - What do you know about me that I might not know about myself based on our previous interactions?,This prompt has been going viral - [X intriguing question],Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"11,566,689"
Most people have no idea you can legally spy on any company's marketing strategy and it's much easier to do than you think.,Most people have no idea you can legally [X surprising action] and it's much easier to do than you think,Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"6,848,814"
Imagine being able to type a voiceover and have it be read in your own voice instantly.,Imagine being able to [X futuristic capability] instantly,Fortuneteller,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"6,135,477"
"Watch this, I'm speaking right now in my normal voice. But listen to what happens when I switch it.","Watch this, I'm [X normal action]. But listen to what happens when I [Y change]",Experimentation,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"5,415,722"
Stop wasting hours editing your clips. Transform your videos instantly with AI.,Stop wasting hours [X task]. Transform your [Y content] instantly with [Z technology],Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"1,489,671"
So this guy just decided to outsource his entire personal financial life to GPT-4.,So this guy just decided to outsource his entire [X life aspect] to [Y AI],Raw Shock,"Creator A-Roll, Image Screenshots",Captions (repeat of spoken),"1,396,462"
(Talking to the AI) I'm trying to book a flight to Hong Kong for five people on the 7th of April. Try find me a direct flight from Melbourne.,(Talking to the AI) [X specific request],Experimentation,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"743,943"
"OpenAI's president, Greg Brockman, just shared the best way to structure the perfect prompt.","[X company's] [Y executive], [Z name], just shared the best way to [valuable skill]",Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"646,908"
Alibaba just dropped another huge AI model,[X company] just dropped another huge [Y product],Secret Reveal,Creator A-Roll,Captions (repeat of spoken),"641,414"
Finding suppliers for new products used to take weeks of research. But then I discovered something that changed everything within seconds,[X task] used to take [Y long time]. But then I discovered something that changed everything within seconds,Educational/Tutorial,Creator A-Roll,Captions (repeat of spoken),"376,641"
Fuck your ChatGPT,Fuck your [X popular tool],Contrarian/Negative,"Creator A-Roll, Creator in B-Roll, Image Screenshots",Captions (repeat of spoken),"7,021,206"
And if you take a picture of your product and prompt an effect here -  boom.,And if you [X action] and [Y action] - boom,Educational/Tutorial,"Creator A-Roll, Non-person B-Roll",Captions (repeat of spoken),"5,482,461"
"If you're a model, I'm sorry.","If you're a [X profession], I'm sorry",Contrarian/Negative,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"4,892,849"
You can take an image of Luigi here and turn it into a super sharp 3D model,You can take [X input] and turn it into [Y output],Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"4,872,906"
And boom. With zero technical skills you can generate CGI effects and assets with Generate Video powered by the new Firefly video model.,And boom. With zero technical skills you can [X create output] with [Y tool],Secret Reveal,Creator in B-Roll,Captions (repeat of spoken),"3,572,606"
"You can take a Pokemon image, and turn it into a 3D model, animate it from the selection here, add it to your design,and boom. Moving posters for billboards or social media.","You can take [X image], and turn it into [Y format], [Z additional steps], and boom. [final application]",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"3,316,529"
"Like a spy, no one can tell these glasses project content right in front of me to cheat on exams and in casinos like James Bond.","Like a spy, no one can tell these [X device] [Y capability] like [Z reference]",Secret Reveal,Creator in B-Roll,Captions (repeat of spoken),"2,845,802"
Should interior designers be worried about this?,Should [X profession] be worried about this?,Question,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"2,270,753"
I just found an incredible tool for you.,I just found an incredible [X tool] for you,Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"2,065,614"
"You can take a basic product photo like this, generate amazing background montages and animate it with AI.","You can take a basic [X input], generate amazing [Y enhancements] and animate it with [Z]",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"2,027,606"
"If you want to make AI images, go to Midjourney.","If you want to make [X content], go to [Y platform]",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll",None,"6,884,006"
"So this tool changes your clothes using AI, but you can use this on thumbnails to create stunning visuals in just a few clicks.","So this tool [X function] using AI, but you can use this on [Y alternative use] to create [Z result] in just a few clicks",Educational/Tutorial,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",None,"4,027,328"
If you create any kind of content for brands then you're going to want to hear about this new feature from Adobe.,If you create any kind of [X work] for [Y clients] then you're going to want to hear about this new feature from [Z company],Secret Reveal,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"3,726,341"
How do we get the same character to show up in all of our AI videos?,How do we get [X consistency challenge] in all of our [Y content]?,Question,"Creator A-Roll, Subject in B-Roll",None,"2,905,191"
So I just spent the last 7 days paying and testing for all of the best AI video generation tools and all of the best AI image tools so that I could create these AI ads.,So I just spent the last [X time] paying and testing for all of the best [Y tools] so that I could create [Z result],Experimentation,"Creator A-Roll, Subject in B-Roll",Captions (repeat of spoken),"2,235,814"
"Should we be worried that you can take a picture of yourself, paste in any link, and create hundreds of videos of you talking about any product with any avatar or any animated character.",Should we be worried that you can [X simple process] and create [Y scalable output]?,Question,"Creator A-Roll, Subject in B-Roll",None,"2,115,426"
"Look, Adobe just released their new AI video model which turns your photos into full-blown ads in just a few clicks.","Look, [X company] just released their new [Y product] which turns your [Z input] into [output] in just a few clicks",Secret Reveal,"Creator A-Roll, Subject in B-Roll",None,"2,072,524"
So this is my AI twin and I have trained it so that I can completely control my facial movements and I control the camera movement.,So this is my AI twin and I have trained it so that I can completely control [X capabilities],Secret Reveal,"Creator A-Roll, Subject in B-Roll",None,"1,900,458"
This might be the craziest AI update we've ever seen.,This might be the [X superlative] AI update we've ever seen,Raw Shock,"Creator A-Roll, Non-person B-Roll, Subject in B-Roll",None,"1,900,407"
So I just paid and tested for all of the best AI video generation tools so that you don't have to.,So I just paid and tested for all of the best [X tools] so that you don't have to,Experimentation,"Arrow/Highlights, Creator A-Roll, Subject in B-Roll",None,"1,575,934"
I just flew 36 hours to attend the biggest marketing event called Inbound by Hubspot,I just flew [X time] to attend the biggest [Y event] called [Z name] by [company],Experimentation,Creator in B-Roll,Captions (repeat of spoken),"2,700,000"
I think all us marketers can agree that creating content across every channel is so time-consuming.,I think all us [X profession] can agree that [Y pain point] is so time-consuming,Contrarian/Negative,Creator in B-Roll,Captions (repeat of spoken),"1,800,000"
"Today, I spoke to the head of TikTok again and these are more of the latest tips to help you grow in 2024.","Today, I spoke to the head of [X platform] again and these are more of the latest tips to help you grow in [Y year]",Secret Reveal,"Creator A-Roll, Non-person B-Roll",[X subject] does [Y thing],"1,600,000"
There is nothing more painful than creating step-by-step guides with screenshots and text.,There is nothing more painful than creating [X content type],Contrarian/Negative,Creator A-Roll,[X subject] does [Y thing],"1,500,000"
"Here is the ultimate list of free tools that you normally have to pay for, and trust me, these will save you so much money.","Here is the ultimate list of free [X resources] that you normally have to pay for, and trust me, these will save you so much [Y]",Secret Reveal,Creator A-Roll,[X subject] does [Y thing],"1,100,000"
Could this be the worst rebrand of all time?,Could this be the worst [X decision] of all time?,Question,"Creator A-Roll, Non-person B-Roll",[X subject] does [Y thing],"622,700"
"Neil Patel, what would you say is the next biggest revolution in marketing?","[X expert], what would you say is the next biggest revolution in [Y field]?",Question,Creator A-Roll,Future of [X thing],"618,200"
Who else in marketing is struggling with the demand to post across every single channel?,Who else in [X profession] is struggling with [Y challenge]?,Question,Creator A-Roll,Captions (repeat of spoken),"451,200"
