Actual Spoken Hook,Spoken Hook Framework,Spoken Hook Structure,Visual Hook | Graphic Selection,Visual Hook | Visual Movemen,Visual Hook | Layout Structrure,Text Hook | Word Structure,Text Hook | Layout,Text Hook | Motion,Audio Hook | Structure,Audio Hook | Specifics,Video Link,Niche,Content Type,Performance (out of top 10 on channel),Views
"This is the Limitless Zoom, and it's very easy to make.","This is the [X technique], and it's very easy to [Y action]",Educational/Tutorial,Creator A-Roll,A-Roll - Quick Zoom,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/karl_shakur/reel/CuxDTCaON0t/,Content Marketing,Education,7,"3,546,487"
"Yo, check this out. What if I told you you could get all these images for free?","Yo, check this out. What if I told you you could get [X thing] for free?",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/karl_shakur/reel/CvAQEdppb5k/,Content Marketing,Education,9,"2,383,274"
What if I told you that you're only six months away?,What if I told you that you're only [X time] away?,Fortuneteller,"Creator in B-Roll, Non-person B-Roll",B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical,https://www.instagram.com/tomnoske/reel/C6vZT4RP0Jz/,Content Marketing,Education,1,"2,737,113"
"You know, I don't do ice bars. I don't do infrared saunas.","You know, I don't do [X trendy thing]. I don't do [Y trendy thing]",Contrarian/Negative,"Creator in B-Roll, Non-person B-Roll",B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical,https://www.instagram.com/tomnoske/reel/C-9q5PeyzTL/,Content Marketing,Education,2,"2,123,186"
"From a $29 product, I had a $50,000 month.","From a $[X small amount] [Y product], I had a $[Z huge amount] [time period]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical,https://www.instagram.com/tomnoske/reel/C9jzs_GSl9V/,Content Marketing,Education,4,"819,021"
My YouTube videos are not very edited.,My [X content] are not very [Y expected quality],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical,https://www.instagram.com/tomnoske/reel/DGVHRVmTRW1/,Content Marketing,Education,5,"751,080"
"Alex Hormozi talks about this, but people dramatically underestimate the amount of volume required to be successful.","[X authority] talks about this, but people dramatically underestimate [Y factor]",Educational/Tutorial,"Creator A-Roll, Creator in B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (in studio), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical,https://www.instagram.com/tomnoske/reel/C9hM4CdSiE6/,Content Marketing,Education,6,"699,821"
"People will cringe, and then they'll be jealous.","People will [X negative reaction], and then they'll be [Y positive reaction]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Light Classical,https://www.instagram.com/tomnoske/reel/DJwEEfgzFtd/,Content Marketing,Education,7,"360,406"
"Hashtags are dead, stop focusing on them for reach.","[X feature] are dead, stop focusing on them for [Y purpose]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),[X shocking thing],Text on Colored Background,Swipes In,SFX only,Whoosh SFX,https://www.instagram.com/devinjatho/reel/Cm-OsnwD58o/,Content Marketing,Education,1,"6,778,456"
"No matter what they tell you, size matters.","No matter what they tell you, [X statement] matters",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,Swipes In,SFX only,Whoosh SFX,https://www.instagram.com/devinjatho/reel/CpQhkDugUGr/,Content Marketing,Education,2,"4,002,624"
Here's how to turn one shitty content idea,Here's how to turn one [X bad quality] [Y thing],Educational/Tutorial,Creator A-Roll,A-Roll - Slow Zoom,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,SFX + Upbeat Music,https://www.instagram.com/devinjatho/reel/CuegXRbgcPQ/,Content Marketing,Education,3,"1,675,944"
Here's an Instagram hack that most people don't know about.,Here's an [X platform] hack that most people don't know about,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,Swipes In,SFX only,Whoosh SFX,https://www.instagram.com/devinjatho/reel/ClAB1_tgCEd/,Content Marketing,Education,4,"1,353,475"
"My name is Devin Jadtho and as a social media manager, I charge my clients anywhere from $53,000 to $187,000 per year.","My name is [X] and as a [Y profession], I charge [Z price range]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,Swipes In,SFX only,Whoosh SFX + Riser SFX,https://www.instagram.com/devinjatho/reel/CxsrdLjuoO5/,Content Marketing,Education,5,"1,258,985"
Here's an Instagram hack that most people don't know about.,Here's an [X platform] hack that most people don't know about,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,Swipes In,Music + SFX,Whoosh SFX + Upbeat Music,https://www.instagram.com/devinjatho/reel/CpIhnlpgRKL/,Content Marketing,Education,6,"1,190,237"
"F**k all of your followers. Hold on, hear me out.","[X shocking statement]. Hold on, hear me out",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),[X shocking thing],Plain Text,Swipes In,Music + SFX,Whoosh SFX + Upbeat Music,https://www.instagram.com/devinjatho/reel/CndIZFGDtLz/,Content Marketing,Education,7,"1,089,564"
This is how the algorithm works on social media.,This is how the [X system] works on [Y platform],Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,Swipes In,Music + SFX,Whoosh SFX + Upbeat Music,https://www.instagram.com/devinjatho/reel/CxaY7XQOIUq/,Content Marketing,Education,8,"1,025,829"
"But if you need content ideas for TikToks or Instagram Reels, don't be a dumbass and ask ChatGPT, can you give me 10 content ideas?","But if you need [X], don't be a dumbass and [Y wrong action]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Text with Shadow,Swipes In,Music + SFX,Whoosh SFX + Upbeat Music,https://www.instagram.com/devinjatho/reel/C1fL7j4RSfP/,Content Marketing,Education,9,"973,911"
You are ruining your videos if you are not in the Devon zone.,You are ruining your [X content] if you are not [Y technique/state],Educational/Tutorial,Creator A-Roll,A-Roll - Quick Zoom,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,Swipes In,Music + SFX,SFX + Upbeat Music,https://www.instagram.com/devinjatho/reel/C45kzFJtgf8/,Content Marketing,Education,10,"910,133"
Nobody fumbled a bag harder than the French gymnastics team.,Nobody [X failed action] harder than [Y example],Secret Reveal,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Text on Colored Background,Swipes In,Music only,Upbeat music,https://www.instagram.com/frankmichaelsmith/reel/C-YYI31RYlq/,Content Marketing,Entertainment,1,"17,754,350"
Jalen Brown's resume might be the most ridiculous in NBA history,[X person's] [Y achievement] might be the most [Z superlative] in [field] history,Secret Reveal,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Text on Colored Background,Swipes In,Music only,Upbeat music,https://www.instagram.com/frankmichaelsmith/reel/C7rwYyMRP3s/,Content Marketing,Entertainment,2,"14,875,278"
The fact that Suni Lee was even able to compete in Paris is nothing short of incredible.,The fact that [X person] was even able to [Y achievement] is nothing short of incredible,Secret Reveal,Subject in B-Roll,B-Roll - None,Full screen B-roll,Captions (repeat of spoken),Text on Colored Background,Swipes In,Music only,Upbeat music,https://www.instagram.com/frankmichaelsmith/reel/C-Sz6fSREJl/,Content Marketing,Entertainment,3,"7,615,266"
The Bronny James experiment should already be over in LA.,The [X experiment] should already be over in [Y place],Secret Reveal,Subject in B-Roll,B-Roll - Swipe Transitions,Full screen B-roll,Captions (repeat of spoken),Text on Colored Background,Swipes In,Music only,Upbeat music,https://www.instagram.com/frankmichaelsmith/reel/DBJWSCQxo5J/,Content Marketing,Entertainment,4,"7,157,185"
"Simone Biles has gone on record to say, Rebecca Andrade scares her most and it's for good reason.","[X famous person] has gone on record to say, [Y person] scares them most and it's for good reason",Secret Reveal,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Text on Colored Background,Swipes In,Music only,Upbeat music,https://www.instagram.com/frankmichaelsmith/reel/C-bA7-ARa3t/,Content Marketing,Entertainment,5,"3,398,570"
"Just seven years ago, the best female road cyclist in the world was learning how to bike in Central Park.","Just [X time] ago, the best [Y category] in the world was [Z humble beginning]",Secret Reveal,Subject in B-Roll,B-Roll - Swipe Transitions,Full screen B-roll,Captions (repeat of spoken),Text on Colored Background,Swipes In,Music only,Upbeat music,https://www.instagram.com/frankmichaelsmith/reel/C-V714qxfq_/,Content Marketing,Entertainment,6,"2,871,165"
"Tua is getting blasted for refusing to wear a guardian cap when he comes back, but he's making the right move.","[X person] is getting blasted for [Y action], but they're making the right move",Secret Reveal,Subject in B-Roll,B-Roll - None,Full screen B-roll,Captions (repeat of spoken),Text on Colored Background,Swipes In,Music only,Upbeat music,https://www.instagram.com/frankmichaelsmith/reel/DBcWGeIRlPZ/,Content Marketing,Entertainment,7,"2,626,767"
There's no coach in sports you've been lied to more about than Mike Tomlin.,There's no [X role] in [Y field] you've been lied to more about than [Z person],Secret Reveal,Subject in B-Roll,"B-Roll - Quick Cuts, B-Roll - Swipe Transitions",Full screen B-roll,Captions (repeat of spoken),Text on Colored Background,Swipes In,Music only,Upbeat music,https://www.instagram.com/frankmichaelsmith/reel/DA3dURmxZTx/,Content Marketing,Entertainment,8,"2,554,477"
"Jaden Daniels has an advantage over every other QB in the NFL, and it has absolutely nothing to do with his ability to run.","[X person] has an advantage over every other [Y position] in the [Z league], and it has absolutely nothing to do with [expected skill]",Secret Reveal,Subject in B-Roll,"B-Roll - Quick Cuts, B-Roll - Swipe Transitions",Full screen B-roll,Captions (repeat of spoken),Text on Colored Background,Swipes In,Music only,Upbeat music,https://www.instagram.com/frankmichaelsmith/reel/DArIMx9Px3q/,Content Marketing,Entertainment,9,"2,268,600"
The Pittsburgh Pirates may never be able to sign a free agent again.,The [X team] may never be able to [Y action] again,Contrarian/Negative,Subject in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Text on Colored Background,Swipes In,Music only,Upbeat music,https://www.instagram.com/frankmichaelsmith/reel/DAWk-Z1x63v/,Content Marketing,Entertainment,10,"2,230,870"
"If you use a shoulder-width handle like this with your arms held in, you'll target the lats, terries major, and rear delts.","If you use [X technique], you'll target [Y results]",Educational/Tutorial,Creator A-Roll,A-Roll - Slow Zoom,Full screen A-roll (in world),None,None,No Motion,Music only,Upbeat music,https://www.instagram.com/davis.diley/reel/C5jCTs3gyfi/,Content Marketing,Education,1,"16,990,510"
This is the best and simplest guide for a perfect bench press you'll ever see.,This is the best and simplest guide for a perfect [X exercise] you'll ever see,Educational/Tutorial,Creator A-Roll,A-Roll - Slow Zoom,"Full screen A-roll (in world), Full screen A-roll (partial graphic overlay)",Captions (repeat of spoken),None,Swipes In,Music only,Upbeat music,https://www.instagram.com/davis.diley/reel/CtegwMGq6lT/,Content Marketing,Education,2,"14,774,742"
"If you lay a bench down flat, like this, and hold your arms at an angle to press, you'll target more of the middle pecs.","If you [X setup], you'll target [Y results]",Educational/Tutorial,Creator A-Roll,A-Roll - Slow Zoom,"Full screen A-roll (in world), Full screen A-roll (partial graphic overlay)",Captions (repeat of spoken),Plain Text,Swipes In,Music only,Upbeat music,https://www.instagram.com/davis.diley/reel/C6JoiMIAXC_/,Content Marketing,Education,5,"9,945,699"
This is the best squat tutorial that's ever been made.,This is the best [X exercise] tutorial that's ever been made,Educational/Tutorial,Creator A-Roll,A-Roll - Slow Zoom,"Full screen A-roll (in world), Full screen A-roll (partial graphic overlay)",Captions (repeat of spoken),Plain Text,Swipes In,Music only,Upbeat music,https://www.instagram.com/davis.diley/reel/Cur5PPJoGEb/,Content Marketing,Education,7,"8,023,262"
"Push-up. That's the first exercise my dad ever taught me, and now I'm gonna teach you.","[X topic]. That's the first [Y thing] my [Z person] ever taught me, and now I'm gonna teach you",Educational/Tutorial,Creator A-Roll,A-Roll - Slow Zoom,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/davis.diley/reel/DA6HJpIOTNo/,Content Marketing,Education,9,"7,290,501"
This is the best dumbbell bench tutorial ever made.,This is the best [X exercise] tutorial ever made,Educational/Tutorial,Creator A-Roll,A-Roll - None,"Full screen A-roll (in world), Full screen A-roll (partial graphic overlay)",Captions (repeat of spoken),None,Swipes In,Music only,Upbeat music,https://www.instagram.com/davis.diley/reel/CwnchZmAuvy/,Content Marketing,Education,10,"6,216,649"
"Why do some people squat like this, and others like this? Which form is correct? Let me explain.","Why do some people [X method], and others [Y method]? Which form is correct? Let me explain",Educational/Tutorial,Creator A-Roll,A-Roll - Slow Zoom,"Full screen A-roll (in world), Full screen A-roll (partial graphic overlay)",Captions (repeat of spoken),None,Swipes In,Music only,Upbeat music,https://www.instagram.com/jeremyethier/reel/DAjEew1PKBY/,Content Marketing,Education,1,"12,056,276"
"I used a $12,000 EMG machine to find out which exercises best target the upper, middle, and lower chest.",I used a $[X equipment] to find out which [Y methods] best target [Z muscles],Educational/Tutorial,"Arrow/Highlights, Creator A-Roll, Creator in B-Roll","A-Roll - Slow Zoom, B-Roll - Quick Cuts",Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,SFX + Upbeat Music,https://www.instagram.com/jeremyethier/reel/Cpk54gQJaYA/,Content Marketing,Education,2,"11,589,876"
"The bench press is a great exercise to build your upper body, but only if you do it right.","The [X exercise] is a great exercise to [Y benefit], but only if you do it right",Educational/Tutorial,Creator A-Roll,B-Roll - Quick Cuts,"Full screen A-roll (in world), Full screen A-roll (partial graphic overlay)",Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,SFX + Upbeat Music,https://www.instagram.com/jeremyethier/reel/Cq0ph4CpOYE/,Content Marketing,Education,3,"10,462,988"
Here's five of the most common squat mistakes you need to avoid,Here's [X number] of the most common [Y exercise] mistakes you need to avoid,Educational/Tutorial,Creator A-Roll,A-Roll - None,"Full screen A-roll (in world), Full screen A-roll (partial graphic overlay)",Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,SFX + Upbeat Music,https://www.instagram.com/jeremyethier/reel/CqqRrpcpemk/,Content Marketing,Education,4,"9,213,773"
"Chest. Some kind of flat barbell or dumbbell pressing and then some incline work. And then lastly for chest, I would say some kind of flying movement.","[X body part]. Some kind of [Y exercise] and then [Z exercise]. And then lastly for [X], I would say some kind of [movement]",Educational/Tutorial,"Creator A-Roll, Example Videos","A-Roll - Slow Zoom, B-Roll - Quick Cuts",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,SFX + Upbeat Music,https://www.instagram.com/jeremyethier/reel/C2nI1fzxB27/,Content Marketing,Education,5,"8,995,288"
"He always trains his calves using a full range of motion, and he only does the top half. Who do you think will grow bigger calves?","[X person] always [Y method], and [Z person] only [method]. Who do you think will grow bigger [muscle]?",Educational/Tutorial,"Creator A-Roll, Creator in B-Roll",A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/jeffnippard/reel/C9FQ-W1OJtc/,Content Marketing,Education,1,"33,882,243"
Why is Sam Sulek doing half reps? Is this actually effective for muscle growth?,Why is [X person] doing [Y unconventional method]? Is this actually effective for [Z goal]?,Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Full screen B-roll w/ A-roll overlaid,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/jeffnippard/reel/Cz6ffXWu3Qc/,Content Marketing,Education,2,"18,312,327"
Only one of these people has never used steroids. Let's see if random people can spot who it is.,Only one of these [X people] has never [Y controversial thing]. Let's see if [Z audience] can spot who it is,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/jeffnippard/reel/DIJme_6pqWF/,Content Marketing,Education,3,"12,584,218"
"Alright, this is my leg workout based on science and experience.","Alright, this is my [X workout] based on science and experience",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/jeffnippard/reel/DDM186vpNXn/,Content Marketing,Education,4,"12,364,501"
"I'm gonna save you 30 minutes of your next workout with three simple tips, and it won't cost you any gains.","I'm gonna save you [X time] of your next workout with [Y number] simple tips, and it won't cost you any [Z]",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/jeffnippard/reel/C9zuGtYJ8ck/,Content Marketing,Education,5,"11,614,627"
"Alright, this is my pull day based on science and experience.","Alright, this is my [X workout] based on science and experience",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/jeffnippard/reel/DC1ywxKJ0U8/,Content Marketing,Education,6,"8,644,772"
"The calves are the hardest muscle to grow, but scientists have recently discovered three solutions to their stubbornness.","The [X muscle] are the hardest muscle to grow, but scientists have recently discovered [Y number] solutions to their stubbornness",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/jeffnippard/reel/DGLsaQCptBO/,Content Marketing,Education,7,"8,416,798"
Y'all know the science-based guys. Science guys really need to answer this question before anything.,Y'all know the [X type] guys. [X] guys really need to answer this question before anything,Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/jeffnippard/reel/DBUPyMGpR-J/,Content Marketing,Education,8,"7,778,981"
This is my push day based on science and experience.,This is my [X workout] based on science and experience,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/jeffnippard/reel/DC64ZmEpb9d/,Content Marketing,Education,9,"7,325,476"
"My first scientific study is officially published, and it answers the question, what is optimal training technique?","My first [X achievement] is officially published, and it answers the question, [Y question]?",Educational/Tutorial,"Creator A-Roll, Image Screenshots",A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/jeffnippard/reel/C2SYZAtOSBX/,Content Marketing,Education,10,"7,312,391"
Check this out. This Dallas mom makes a million dollars a year in only four months of work.,Check this out. This [X location] [Y person] makes [Z amount] a year in only [time] of work,Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,SFX only,Whoosh SFX,https://www.instagram.com/rico.incarnati/reel/DAjbS2pvM-d/,Content Marketing,Education,2,"6,234,032"
Instagram is rolling out a huge update. Here's everything you need to know.,[X platform] is rolling out a huge update. Here's everything you need to know,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,SFX only,Whoosh + Riser SFX,https://www.instagram.com/rico.incarnati/reel/CzmAWhTRA0i/,Content Marketing,Education,3,"1,509,085"
"There's a shift happening in social media, and there's data that's clear.","There's a shift happening in [X industry], and there's data that's clear",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,Upbeat Music + Riser SFX,https://www.instagram.com/rico.incarnati/reel/C2YZvs5Rf4O/,Content Marketing,Education,4,"1,069,138"
"Well, if you think your Instagram video posts have been blurry lately, you're not wrong.","Well, if you think your [X platform] [Y content] have been [Z problem] lately, you're not wrong",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/rico.incarnati/reel/DBtb1roxtpa/,Content Marketing,Education,6,"857,435"
"How do you make fake comments like this? Great question. Oh, you tried clicking on that. Yeah that's not going to work.","How do you make [X thing]? Great question. Oh, you tried [Y action]. Yeah that's not going to work",Educational/Tutorial,"Creator A-Roll, Image Screenshots",A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/rico.incarnati/reel/DBetiVjRXly/,Content Marketing,Education,7,"733,171"
"Okay, can we talk about how Ashton Hall low-key broke the internet with his morning routine?","Okay, can we talk about how [X person] low-key broke the internet with [Y content]?",Educational/Tutorial,"Creator A-Roll, Subject in B-Roll","A-Roll - None, B-Roll - None",Split screen A-roll + B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/rico.incarnati/reel/DHrqr3_xnpI/,Content Marketing,Education,8,"553,806"
"Please do real estate. I got you. One idea, five viral hooks. Let's run it. Number one - Negative Hook.","Please do [X topic]. I got you. One idea, [Y number] viral hooks. Let's run it. Number one - [Z hook type]",Educational/Tutorial,"Creator A-Roll, Image Screenshots",A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/rico.incarnati/reel/DAWC6UZxnS8/,Content Marketing,Education,9,"541,604"
Here are three websites that are completely free that every creator needs to know.,Here are [X number] websites that are completely free that every [Y audience] needs to know,Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in studio),Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,Upbeat Music + Riser SFX,https://www.instagram.com/iamajene/reel/DFGJK0ct_yj/,Content Marketing,Education,1,"3,552,723"
Have you ever saw this guy before or him or him or his name is Wojack and there's a website where you can get loads of him or you can create your own for the free-ski.,Have you ever saw [X] before? His name is [Y] and there's a website where you can [Z benefit] for free,Educational/Tutorial,"Creator A-Roll, Image Screenshots",A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,Music + SFX,Upbeat Music + Riser SFX,https://www.instagram.com/iamajene/reel/C8cwN3XN6Lv/,Content Marketing,Education,2,"2,823,855"
never record content on an iPhone until you change these settings.,Never [X action] on [Y device] until you change these settings,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/iamajene/reel/C2hfD1ktV57/,Content Marketing,Education,3,"1,967,909"
There are 4 websites that are completely free that every creator and editor needs to know.,There are [X number] websites that are completely free that every [Y audience] needs to know,Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/iamajene/reel/DBhXZpfOV2y/,Content Marketing,Education,4,"1,575,389"
Here are 3 places you can get movie clips completely for free so share it with a friend and tell them the last one is the best.,Here are [X number] places you can get [Y content] completely for free so share it with a friend and tell them the last one is the best,Secret Reveal,"Creator A-Roll, Non-person B-Roll","A-Roll - None, B-Roll - Quick Cuts","Full screen A-roll (partial graphic overlay), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/iamajene/reel/DAonk7HunEi/,Content Marketing,Education,5,"1,277,512"
Never open Premiere Pro again until you install these three plugins.,Never open [X software] again until you install these [Y number] plugins,Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/iamajene/reel/C_ImyVstRs3/,Content Marketing,Education,6,"924,405"
I just found this crazy AI website that can turn any image into a video.,I just found this crazy [X type] website that can turn any [Y input] into [Z output],Secret Reveal,"Creator A-Roll, Example Videos",A-Roll - None,"Full screen A-roll (partial graphic overlay), Full screen B-roll",Captions (repeat of spoken),Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/iamajene/reel/DAN4c4XuZ6_/,Content Marketing,Education,7,"716,090"
Here are 4 websites I couldn't live without as a content creator so save this video for later,Here are [X number] websites I couldn't live without as a [Y profession] so save this video for later,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/iamajene/reel/C-DG3qKI6xH/,Content Marketing,Education,8,"405,843"
This website has a bunch of cut out memes and popular sound effects you can download completely for free.,This website has a bunch of [X content] you can download completely for free,Secret Reveal,"Creator A-Roll, Example Videos",A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/iamajene/reel/C8h9e58N_8q/,Content Marketing,Education,9,"367,897"
I'm nearly 24 years old and if I could go back in time this is what I would tell my 18 year old self.,I'm nearly [X age] years old and if I could go back in time this is what I would tell my [Y age] year old self,Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (partial graphic overlay),Captions (repeat of spoken),Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/iamajene/reel/C9dIWd_uORV/,Content Marketing,Education,10,"303,666"
"Ever since I was five years old, I always wondered, is it possible to get one of the big prizes at an arcade?","Ever since I was [X age] years old, I always wondered, [Y question]?",Question,Creator in B-Roll,B-Roll - Quick Cuts,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/minolee.mp4/reel/C_1IQzyI6Y6/,Content Marketing,Entertainment,1,"4,619,552"
"So apparently if you take a nap for 20 minutes right after chugging caffeine, it makes you the most wired and awake you've ever been.","So apparently if you [X action] right after [Y action], it makes you [Z result]",Secret Reveal,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/minolee.mp4/reel/DEr4pQwRLGr/,Content Marketing,Entertainment,2,"3,525,280"
"You know, I really thought life would get better once I made 10k a month.","You know, I really thought life would get better once I [X achievement]",Contrarian/Negative,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,SFX only,Riser SFX,https://www.instagram.com/minolee.mp4/reel/DDL7FnZRpoy/,Content Marketing,Entertainment,3,"2,589,543"
"I don't know who needs to hear this, but uninstalling video games is not gonna make you successful.","I don't know who needs to hear this, but [X common advice] is not gonna make you successful",Educational/Tutorial,Creator A-Roll,A-Roll - None,Full screen A-roll (in world),Captions (repeat of spoken),Plain Text,No Motion,No audio,None,https://www.instagram.com/minolee.mp4/reel/DFLW_J7xFn6/,Content Marketing,Entertainment,4,"2,451,649"
"All we have to do is sell 200 people on a $500 product and we make $100,000 in one hour",All we have to do is [X simple calculation] and we make [Y result],Secret Reveal,Creator in B-Roll,B-Roll - Slow Zooms,Full screen B-roll,Captions (repeat of spoken),Plain Text,No Motion,Music only,Upbeat music,https://www.instagram.com/minolee.mp4/reel/DFWrm_WRH4K/,Content Marketing,Entertainment,5,"2,343,306"
